name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
1000memories,Curated Web ," 25,35,000 ",USA,SF Bay Area,San Francisco,2.0,7.0,3.0,2010.0,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301369863013698,1,2535000.0
10BestThings,Curated Web ," 50,000 ",USA,Cleveland,Cleveland,1.0,4.0,2.0,2009.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50000.0
1bib,Curated Web ,-   ,CHN,Guangzhou,Guangzhou,1.0,1.0,1.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1013698630136988,2.1013698630136988,0,0.0
1Cast,Other,-   ,USA,Seattle,Kirkland,1.0,6.0,2.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0,0.0
1DayMakeover,E-Commerce ," 50,000 ",USA,"Orange County, California",Santa Ana,1.0,6.0,2.0,2008.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50000.0
24PageBooks,Software ," 50,000 ",USA,"Rochester, New York",Rochester,1.0,1.0,1.0,2010.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917808219178085,1.3917808219178085,0,50000.0
3ClickEMR Corporation,Other," 5,00,000 ",USA,Boston,West Roxbury,2.0,6.0,2.0,2010.0,250000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397260273972604,0,500000.0
3i Systems,Semiconductors ," 1,37,08,150 ",CHN,Guangdong,Guangdong,3.0,11.0,4.0,2006.0,0.0,13708150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.331506849315069,0,13708150.0
3TIER,Clean Technology ," 1,50,00,000 ",USA,Seattle,Seattle,3.0,1.0,1.0,1999.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.682191780821919,11.158904109589042,1,15000000.0
3Touch,Software ," 2,72,000 ",IRL,IRL - Other,Athlone,1.0,1.0,1.0,2003.0,0.0,272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331506849315068,4.331506849315068,0,272000.0
